"url","Contentblock","Contentlink","Contentlink_link","Contentimg","Contentimg_alt","Contentimg_link"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","Backstorymom1 (#44)‏ @Backstorymom1 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
Is the ""sick-shaming"" over yet? Meanwhile... #ImWithHer pic.twitter.com/no4UEDk30J
 
 
 
 
 
 
 
 
 
 
 
 
 
 1 reply 6 retweets 10 likes 
 
 
 
 Reply 
 
 1 
 
 
 
 Retweet 
 
 6 
 
 Retweeted 
 
 6 
 
 
 
 
 
 
 Like 
 
 10 
 
 
 
 
 Liked 
 
 10; Backstorymom1 (#44)‏ @Backstorymom1 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
Is the ""sick-shaming"" over yet? Meanwhile... #ImWithHer pic.twitter.com/no4UEDk30J
 
 
 
 
 
 
 
 
 
 
 
 
 
 1 reply 6 retweets 10 likes 
 
 
 
 Reply 
 
 1 
 
 
 
 Retweet 
 
 6 
 
 Retweeted 
 
 6 
 
 
 
 
 
 
 Like 
 
 10 
 
 
 
 
 Liked 
 
 10","Backstorymom1 (#44)‏ @Backstorymom1; 12 Sep 2016; #ImWithHer; pic.twitter.com/no4UEDk30J","https://twitter.com/Backstorymom1; https://twitter.com/Backstorymom1/status/775483312890585088; https://twitter.com/hashtag/ImWithHer?src=hash; https://t.co/no4UEDk30J","https://pbs.twimg.com/media/CsMR9ZcWIAAD6df.jpg","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","#LupusAwarenessMonth‏ @paleblueeyes24 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
#TroubleStartsWhen Donald Trump opens his big mouth. #NeverTrump #DeplorablesForTrump #ImWithHer #Donate4Hillarypic.twitter.com/ssqui7wX9k
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 0 replies 7 retweets 7 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 7 
 
 Retweeted 
 
 7 
 
 
 
 
 
 
 Like 
 
 7 
 
 
 
 
 Liked 
 
 7; #LupusAwarenessMonth‏ @paleblueeyes24 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
#TroubleStartsWhen Donald Trump opens his big mouth. #NeverTrump #DeplorablesForTrump #ImWithHer #Donate4Hillarypic.twitter.com/ssqui7wX9k
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 0 replies 7 retweets 7 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 7 
 
 Retweeted 
 
 7 
 
 
 
 
 
 
 Like 
 
 7 
 
 
 
 
 Liked 
 
 7","#LupusAwarenessMonth‏ @paleblueeyes24; 12 Sep 2016; #TroubleStartsWhen; #NeverTrump; #DeplorablesForTrump; #ImWithHer; #Donate4Hillary; pic.twitter.com/ssqui7wX9k","https://twitter.com/paleblueeyes24; https://twitter.com/paleblueeyes24/status/775483869223006208; https://twitter.com/hashtag/TroubleStartsWhen?src=hash; https://twitter.com/hashtag/NeverTrump?src=hash; https://twitter.com/hashtag/DeplorablesForTrump?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash; https://twitter.com/hashtag/Donate4Hillary?src=hash; https://t.co/ssqui7wX9k","","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","Arctic Fox‏ @ArcticFox571 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
Arctic Fox Retweeted ABC News Politics
 
 
Looks deplorable to me. #ImWithHer https://twitter.com/ABCPolitics/status/775467362195738624 …
 
 
Arctic Fox added,
 
 
 
 
 
 
 
 
 
0:41
 
 
 
 
 
 
 ABC News PoliticsVerified account @ABCPolitics 
 
WATCH: Man slaps several protesters as they are being escorted out of @realDonaldTrump rally in Asheville, NC. pic.twitter.com/KMKCDvIar4
 
 
 
 
 
 
 
 0 replies 2 retweets 3 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 2 
 
 Retweeted 
 
 2 
 
 
 
 
 
 
 Like 
 
 3 
 
 
 
 
 Liked 
 
 3; Arctic Fox‏ @ArcticFox571 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
Arctic Fox Retweeted ABC News Politics
 
 
Looks deplorable to me. #ImWithHer https://twitter.com/ABCPolitics/status/775467362195738624 …
 
 
Arctic Fox added,
 
 
 
 
 
 
 
 
 
0:41
 
 
 
 
 
 
 ABC News PoliticsVerified account @ABCPolitics 
 
WATCH: Man slaps several protesters as they are being escorted out of @realDonaldTrump rally in Asheville, NC. pic.twitter.com/KMKCDvIar4
 
 
 
 
 
 
 
 0 replies 2 retweets 3 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 2 
 
 Retweeted 
 
 2 
 
 
 
 
 
 
 Like 
 
 3 
 
 
 
 
 Liked 
 
 3","Arctic Fox‏ @ArcticFox571; 12 Sep 2016; #ImWithHer; https://twitter.com/ABCPolitics/status/775467362195738624 …","https://twitter.com/ArcticFox571; https://twitter.com/ArcticFox571/status/775483806404993024; https://twitter.com/hashtag/ImWithHer?src=hash; https://t.co/5eIceNEszo","https://pbs.twimg.com/media/CsMCz7HWYAIpW_n.jpg","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","Pepper Ann‏ @Pepper_Ann6262 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
#inners I have to say that I am so disgusted by the #BasketOfDeplorables. We cannot let these vile people win. #ImwithHer #NeverTrump
 
 
 
 0 replies 1 retweet 0 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 1 
 
 Retweeted 
 
 1 
 
 
 
 
 
 
 Like 
 
 
 
 
 
 
 Liked; Pepper Ann‏ @Pepper_Ann6262 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
#inners I have to say that I am so disgusted by the #BasketOfDeplorables. We cannot let these vile people win. #ImwithHer #NeverTrump
 
 
 
 0 replies 1 retweet 0 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 1 
 
 Retweeted 
 
 1 
 
 
 
 
 
 
 Like 
 
 
 
 
 
 
 Liked","Pepper Ann‏ @Pepper_Ann6262; 12 Sep 2016; #inners; #BasketOfDeplorables; #ImwithHer; #NeverTrump","https://twitter.com/Pepper_Ann6262; https://twitter.com/Pepper_Ann6262/status/775483195529818112; https://twitter.com/hashtag/inners?src=hash; https://twitter.com/hashtag/BasketOfDeplorables?src=hash; https://twitter.com/hashtag/ImwithHer?src=hash; https://twitter.com/hashtag/NeverTrump?src=hash","","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","katie‏ @heycep 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
Just completed 2 hours of phone banking for @HillaryClinton #ImWithHer #notrumpzone
 
 
 
 0 replies 0 retweets 5 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 5 
 
 
 
 
 Liked 
 
 5; katie‏ @heycep 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
Just completed 2 hours of phone banking for @HillaryClinton #ImWithHer #notrumpzone
 
 
 
 0 replies 0 retweets 5 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 5 
 
 
 
 
 Liked 
 
 5","katie‏ @heycep; 12 Sep 2016; @HillaryClinton; #ImWithHer; #notrumpzone","https://twitter.com/heycep; https://twitter.com/heycep/status/775483508366118913; https://twitter.com/HillaryClinton; https://twitter.com/hashtag/ImWithHer?src=hash; https://twitter.com/hashtag/notrumpzone?src=hash","","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","Michael Sexton‏ @jmsexton_ 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
Presidential Campaigns Are Grueling And Full Of Germs. Of Course People Get Sick. http://huff.to/2czEGzO #ImWithHer #StrongerTogether
 
 
 
 0 replies 0 retweets 2 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 2 
 
 
 
 
 Liked 
 
 2; Michael Sexton‏ @jmsexton_ 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
Presidential Campaigns Are Grueling And Full Of Germs. Of Course People Get Sick. http://huff.to/2czEGzO #ImWithHer #StrongerTogether
 
 
 
 0 replies 0 retweets 2 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 2 
 
 
 
 
 Liked 
 
 2","Michael Sexton‏ @jmsexton_; 12 Sep 2016; http://huff.to/2czEGzO; #ImWithHer; #StrongerTogether","https://twitter.com/jmsexton_; https://twitter.com/jmsexton_/status/775484090963427329; https://t.co/8xbTo19C74; https://twitter.com/hashtag/ImWithHer?src=hash; https://twitter.com/hashtag/StrongerTogether?src=hash","","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","Linda Sullivan‏ @Sulli3000 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
Linda Sullivan Retweeted Post Politics
 
 
Inciting anger and violence and he's the Republican nominee. #ImWithHer https://twitter.com/postpolitics/status/775481570681622528 …
 
 
Linda Sullivan added,
 
 
 
 
 
 
 Post PoliticsVerified account @postpolitics 
 
Trump says Clinton running ‘hate-filled campaign’ at tense North Carolina rally where violence flares up http://wapo.st/2cmBR2V 
 
 
 
 
 
 
 
 0 replies 0 retweets 0 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 
 
 
 
 
 Liked; Linda Sullivan‏ @Sulli3000 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
Linda Sullivan Retweeted Post Politics
 
 
Inciting anger and violence and he's the Republican nominee. #ImWithHer https://twitter.com/postpolitics/status/775481570681622528 …
 
 
Linda Sullivan added,
 
 
 
 
 
 
 Post PoliticsVerified account @postpolitics 
 
Trump says Clinton running ‘hate-filled campaign’ at tense North Carolina rally where violence flares up http://wapo.st/2cmBR2V 
 
 
 
 
 
 
 
 0 replies 0 retweets 0 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 
 
 
 
 
 Liked","Linda Sullivan‏ @Sulli3000; 12 Sep 2016; #ImWithHer; https://twitter.com/postpolitics/status/775481570681622528 …","https://twitter.com/Sulli3000; https://twitter.com/Sulli3000/status/775484067982770176; https://twitter.com/hashtag/ImWithHer?src=hash; https://t.co/na6JQpDPgG","","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","j cowley‏ @cosmicfirepeace 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
@HillaryClinton Did a brilliant Job at Boxing her opponent into a box labelled #Hate #Racism #imwithher because #Itrusther to be smart #CNN
 
 
 
 0 replies 0 retweets 1 like 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 1 
 
 
 
 
 Liked 
 
 1; j cowley‏ @cosmicfirepeace 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
@HillaryClinton Did a brilliant Job at Boxing her opponent into a box labelled #Hate #Racism #imwithher because #Itrusther to be smart #CNN
 
 
 
 0 replies 0 retweets 1 like 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 1 
 
 
 
 
 Liked 
 
 1","j cowley‏ @cosmicfirepeace; 12 Sep 2016; @HillaryClinton; #Hate; #Racism; #imwithher; #Itrusther; #CNN","https://twitter.com/cosmicfirepeace; https://twitter.com/cosmicfirepeace/status/775483952995766272; https://twitter.com/HillaryClinton; https://twitter.com/hashtag/Hate?src=hash; https://twitter.com/hashtag/Racism?src=hash; https://twitter.com/hashtag/imwithher?src=hash; https://twitter.com/hashtag/Itrusther?src=hash; https://twitter.com/hashtag/CNN?src=hash","","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","Virginia Dreaming‏ @Picklenose1 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
Yes, Ms. Clinton has pneumonia, and yes Mr. Trump has chronic diarrhea of the mouth. #ImWithHer
 
 
 
 0 replies 0 retweets 1 like 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 1 
 
 
 
 
 Liked 
 
 1; Virginia Dreaming‏ @Picklenose1 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
Yes, Ms. Clinton has pneumonia, and yes Mr. Trump has chronic diarrhea of the mouth. #ImWithHer
 
 
 
 0 replies 0 retweets 1 like 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 1 
 
 
 
 
 Liked 
 
 1","Virginia Dreaming‏ @Picklenose1; 12 Sep 2016; #ImWithHer","https://twitter.com/Picklenose1; https://twitter.com/Picklenose1/status/775483818027474945; https://twitter.com/hashtag/ImWithHer?src=hash","","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","barbie collins‏ @BarbieCollins 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 Replying to @andersoncooper @HillaryClinton 
 
 
wish her well. America needs her, heck, the world needs her #nevertrump #ImWithHer
 
 
 
 0 replies 0 retweets 3 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 3 
 
 
 
 
 Liked 
 
 3; barbie collins‏ @BarbieCollins 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 Replying to @andersoncooper @HillaryClinton 
 
 
wish her well. America needs her, heck, the world needs her #nevertrump #ImWithHer
 
 
 
 0 replies 0 retweets 3 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 3 
 
 
 
 
 Liked 
 
 3","barbie collins‏ @BarbieCollins; 12 Sep 2016; @andersoncooper; @HillaryClinton; #nevertrump; #ImWithHer","https://twitter.com/BarbieCollins; https://twitter.com/BarbieCollins/status/775483717108117504; https://twitter.com/andersoncooper; https://twitter.com/HillaryClinton; https://twitter.com/hashtag/nevertrump?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash","","",""
